File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\TankMovementAction.cs,83,61,25,4,10,1,12,115,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\TurnLeftAction.cs,49,32,11,0,5,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\TurnRightAction.cs,49,32,11,0,5,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Actions\PlayerControl\UseAction.cs,47,32,13,1,6,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\AllowContinuousPressAttribute.cs,25,9,3,0,3,1,13,123,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\DefaultKeyAttribute.cs,46,22,10,1,4,1,20,150,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\DefaultMouseButtonAttribute.cs,45,23,10,1,5,1,17,136,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\MappedSoundsAttribute.cs,37,23,10,1,5,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\MappedTexturesAttribute.cs,66,31,14,2,7,1,28,231,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Attributes\SoundAutoLoadAttribute.cs,25,9,3,0,3,1,13,117,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Soldier.cs,301,243,141,22,46,1,12,107,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Cars\MineLayerPickup.cs,82,60,36,5,10,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Cars\OrangeCar.cs,33,21,13,0,3,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Projectiles\MachineGunBullet.cs,32,19,11,0,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Projectiles\TankShell.cs,27,15,7,0,3,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankE100.cs,34,19,11,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankKV2.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankM6.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankPzKpfwA.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankPzKpfwB.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankT34.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankTigerII.cs,32,17,9,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Entities\Tanks\TankVK3601H.cs,33,18,10,0,3,1,12,110,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions\GameExtensions.cs,35,13,6,0,3,1,19,134,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions\ObjectExtensions.cs,29,16,7,2,4,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions\RectangleExtensions.cs,65,42,12,4,6,1,17,142,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions\RotatedRectangleExtensions.cs,41,27,13,1,5,1,9,96,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Extensions\StringExtensions.cs,91,37,13,5,7,1,47,450,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Input\AxisBinding.cs,73,48,21,2,11,0,14,74,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Input\InputBinding.cs,154,132,58,12,22,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Input\KeyBinding.cs,182,134,59,16,23,0,25,121,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Input\MouseAxisBinding.cs,103,80,38,8,19,0,4,25,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\AIBase.cs,28,13,7,0,5,0,10,55,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\CollisionBoundary.cs,102,82,41,7,20,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Configuration.cs,96,81,43,5,15,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\ControllableEntity.cs,95,74,39,5,21,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Coordinate.cs,105,49,21,5,12,0,44,232,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\DamageInfo.cs,47,21,11,0,7,0,19,128,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\DebuggingSettings.cs,14,10,6,0,4,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Entity.cs,250,187,93,24,41,0,22,128,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\GameAction.cs,90,72,31,4,18,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\GameData.cs,117,90,56,8,27,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\InputOutputAgent.cs,12,9,5,0,3,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\IRenderable.cs,11,8,4,0,3,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Map.cs,403,288,136,38,65,0,50,256,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\MouseButtonState.cs,45,33,17,0,12,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\ObjectBase.cs,265,187,96,15,42,0,36,219,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Objective.cs,127,98,51,10,29,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\ObjectiveList.cs,72,59,33,6,12,0,1,1,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Player.cs,26,19,9,0,7,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Projectile.cs,107,69,44,5,18,0,20,107,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Rotation.cs,47,37,16,4,10,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Segment.cs,36,17,8,0,5,0,14,89,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Size.cs,35,27,13,1,8,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\StaticObject.cs,53,41,19,2,8,0,4,16,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\StringBuilderTraceListener.cs,44,36,20,2,8,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\TankBase.cs,345,256,154,22,64,0,25,104,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\VanillaAI.cs,112,78,45,11,22,0,12,62,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Logic\Vehicle.cs,299,242,134,31,54,0,3,19,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Maps\DesertMap.cs,33,28,14,0,5,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Maps\TutorialMap.cs,233,198,80,0,31,0,4,20,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives\BoardVehicleObjective.cs,28,22,15,0,6,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives\DestroyMultipleObjective.cs,66,56,30,2,10,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives\DestroyTargetObjective.cs,23,18,10,0,5,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives\ReachPointObjective.cs,60,50,30,1,10,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Objectives\TimedObjective.cs,25,19,9,1,6,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\BattlefieldScreen.cs,125,103,62,6,22,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\HeadsUpScreen.cs,78,62,38,4,13,0,3,12,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\MainMenuScreen.cs,150,125,76,4,24,0,1,2,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\MessageScreen.cs,103,83,49,3,20,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\OnScreenConsole.cs,125,100,57,10,25,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\PauseScreen.cs,133,110,67,3,23,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\SettingsMenuScreen.cs,104,88,52,3,16,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\HeadsUp\CurrentObjectiveScreen.cs,71,57,32,3,14,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\HeadsUp\MinimapScreen.cs,147,120,61,6,27,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Screens\HeadsUp\PlayerStateScreen.cs,135,105,67,2,25,0,5,9,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\ExplosionSounds.cs,23,17,8,0,6,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\MiscSounds.cs,14,11,5,0,3,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\SoldierSounds.cs,19,13,6,0,4,0,2,1,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\SoundEffect.cs,91,75,38,6,15,0,1,2,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\TankSounds.cs,30,23,9,0,7,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\UISounds.cs,18,11,5,0,3,0,4,12,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\Sound\VehicleSounds.cs,14,11,5,0,3,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\AmmoCrate.cs,32,28,17,1,4,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\AntiTankBarrier.cs,19,16,9,0,3,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\DummyTarget.cs,36,30,17,0,6,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\Explosion.cs,75,64,31,4,11,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\Wall.cs,78,51,25,2,9,0,18,98,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\Waypoint.cs,92,79,41,5,12,0,1,1,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\StaticObjects\Wreck.cs,30,25,17,1,5,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty\RotatedRectangle.cs,231,144,88,16,28,0,59,453,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty\GameStateManagement\GameScreen.cs,368,181,85,11,70,0,117,793,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty\GameStateManagement\InputState.cs,241,130,59,14,48,0,63,443,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\ThirdParty\GameStateManagement\ScreenManager.cs,324,165,84,15,74,0,85,532,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\UI\Menu.cs,202,167,91,14,35,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\UI\MenuItem.cs,147,111,68,7,36,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons\UI\ProgressBar.cs,66,49,30,1,17,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\Program.cs,137,120,71,10,17,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.CollisionMaker\Properties\AssemblyInfo.cs,28,11,2,0,8,0,9,71,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Windows.DirectX\FileStreamInputOutputAgent.cs,20,15,7,1,5,0,0,0,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Windows.DirectX\Program.cs,24,18,7,0,3,0,3,12,0,0
C:\Users\elinn_000\Desktop\Gray Horizons\GrayHorizons.Windows.DirectX\Properties\AssemblyInfo.cs,31,14,3,0,8,0,9,71,0,0
